OCC_CODE,OCC_TITLE,TOT_EMP,A_MEDIAN,A_MEAN,YEAR
11-9020,Construction Managers,293380.0,95260.0,105000.0,2019
11-9021,Construction Managers,293380.0,95260.0,105000.0,2019
11-9030,Education and Childcare Administrators,512820.0,91130.0,98270.0,2019
11-9031,"Education and Childcare Administrators, Preschool and Daycare",52360.0,48210.0,53690.0,2019
11-9032,"Education Administrators, Kindergarten through Secondary",271020.0,96400.0,100340.0,2019
11-9033,"Education Administrators, Postsecondary",144880.0,95410.0,112400.0,2019
11-9039,"Education Administrators, All Other",44550.0,85450.0,92150.0,2019
11-9040,Architectural and Engineering Managers,194250.0,144830.0,152930.0,2019
11-9041,Architectural and Engineering Managers,194250.0,144830.0,152930.0,2019
11-9050,Food Service Managers,235470.0,55320.0,59820.0,2019
11-9051,Food Service Managers,235470.0,55320.0,59820.0,2019
11-9071,Gambling Managers,4450.0,74970.0,84700.0,2019
11-9080,Lodging Managers,38340.0,54430.0,63570.0,2019
11-9081,Lodging Managers,38340.0,54430.0,63570.0,2019
11-9110,Medical and Health Services Managers,394910.0,100980.0,115160.0,2019
11-9111,Medical and Health Services Managers,394910.0,100980.0,115160.0,2019
11-9120,Natural Sciences Managers,67720.0,129100.0,145450.0,2019
11-9121,Natural Sciences Managers,67720.0,129100.0,145450.0,2019
11-9130,Postmasters and Mail Superintendents,13850.0,76900.0,78220.0,2019
11-9131,Postmasters and Mail Superintendents,13850.0,76900.0,78220.0,2019
11-9140,"Property, Real Estate, and Community Association Managers",220750.0,58760.0,71720.0,2019
11-9141,"Property, Real Estate, and Community Association Managers",220750.0,58760.0,71720.0,2019
11-9150,Social and Community Service Managers,156460.0,67150.0,72900.0,2019
11-9151,Social and Community Service Managers,156460.0,67150.0,72900.0,2019
11-9160,Emergency Management Directors,10060.0,74590.0,82530.0,2019
11-9161,Emergency Management Directors,10060.0,74590.0,82530.0,2019
11-9171,Funeral Home Managers,9400.0,76350.0,95220.0,2019
11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",472060.0,110630.0,118710.0,2019
13-0000,Business and Financial Operations Occupations,8183750.0,69820.0,78130.0,2019
13-1000,Business Operations Specialists,5427140.0,68730.0,75530.0,2019
13-1010,"Agents and Business Managers of Artists, Performers, and Athletes",17060.0,73740.0,97170.0,2019
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",17060.0,73740.0,97170.0,2019
13-1020,Buyers and Purchasing Agents,421280.0,64380.0,69680.0,2019
13-1020,Buyers and Purchasing Agents,421280.0,64380.0,69680.0,2019
13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",301710.0,66540.0,68820.0,2019
13-1031,"Claims Adjusters, Examiners, and Investigators",287960.0,66790.0,68940.0,2019
13-1032,"Insurance Appraisers, Auto Damage",13750.0,63270.0,66240.0,2019
13-1040,Compliance Officers,317600.0,69050.0,72850.0,2019
13-1041,Compliance Officers,317600.0,69050.0,72850.0,2019
13-1050,Cost Estimators,210000.0,65250.0,71350.0,2019
13-1051,Cost Estimators,210000.0,65250.0,71350.0,2019
13-1070,Human Resources Workers,708780.0,62440.0,68200.0,2019
13-1071,Human Resources Specialists,633040.0,61920.0,67760.0,2019
13-1074,Farm Labor Contractors,160.0,61910.0,62060.0,2019
13-1075,Labor Relations Specialists,75580.0,69020.0,71870.0,2019
13-1081,Logisticians,182050.0,74750.0,78680.0,2019
13-1110,Management Analysts,709750.0,85260.0,95560.0,2019
13-1111,Management Analysts,709750.0,85260.0,95560.0,2019
13-1120,"Meeting, Convention, and Event Planners",117610.0,50600.0,54880.0,2019
13-1121,"Meeting, Convention, and Event Planners",117610.0,50600.0,54880.0,2019
13-1130,Fundraisers,81660.0,57970.0,62830.0,2019
13-1131,Fundraisers,81660.0,57970.0,62830.0,2019
13-1140,"Compensation, Benefits, and Job Analysis Specialists",89300.0,64560.0,69840.0,2019
13-1141,"Compensation, Benefits, and Job Analysis Specialists",89300.0,64560.0,69840.0,2019
13-1150,Training and Development Specialists,312450.0,61210.0,65640.0,2019
13-1151,Training and Development Specialists,312450.0,61210.0,65640.0,2019
13-1160,Market Research Analysts and Marketing Specialists,678500.0,63790.0,71570.0,2019
13-1161,Market Research Analysts and Marketing Specialists,678500.0,63790.0,71570.0,2019
13-1198,"Project Management Specialists and Business Operations Specialists, All Other",1279390.0,73570.0,80220.0,2019
13-2000,Financial Specialists,2756610.0,71950.0,83260.0,2019
13-2010,Accountants and Auditors,1280700.0,71550.0,79520.0,2019
13-2011,Accountants and Auditors,1280700.0,71550.0,79520.0,2019
13-2020,Property Appraisers and Assessors,56320.0,57010.0,63610.0,2019
13-2020,Property Appraisers and Assessors,56320.0,57010.0,63610.0,2019
13-2030,Budget Analysts,51460.0,76540.0,80300.0,2019
13-2031,Budget Analysts,51460.0,76540.0,80300.0,2019
13-2040,Credit Analysts,73930.0,73650.0,84930.0,2019
13-2041,Credit Analysts,73930.0,73650.0,84930.0,2019
13-2052,Personal Financial Advisors,210190.0,87850.0,119290.0,2019
13-2053,Insurance Underwriters,100050.0,70020.0,77640.0,2019
13-2060,Financial Examiners,64550.0,81090.0,92330.0,2019
13-2061,Financial Examiners,64550.0,81090.0,92330.0,2019
13-2070,Credit Counselors and Loan Officers,340480.0,61090.0,73750.0,2019
13-2071,Credit Counselors,32110.0,45950.0,50230.0,2019
13-2072,Loan Officers,308370.0,63270.0,76200.0,2019
13-2080,"Tax Examiners, Collectors and Preparers, and Revenue Agents",120430.0,49590.0,54640.0,2019
13-2081,"Tax Examiners and Collectors, and Revenue Agents",53760.0,54890.0,60960.0,2019
13-2082,Tax Preparers,66670.0,43080.0,49550.0,2019
13-2098,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",458510.0,81590.0,94160.0,2019
15-0000,Computer and Mathematical Occupations,4552880.0,88340.0,93760.0,2019
15-1200,Computer Occupations,4358410.0,88240.0,93620.0,2019
15-1210,Computer and Information Analysts,714640.0,92360.0,97570.0,2019
15-1211,Computer Systems Analysts,589060.0,90920.0,96160.0,2019
15-1212,Information Security Analysts,125570.0,99730.0,104210.0,2019
15-1220,Computer and Information Research Scientists,30780.0,122840.0,127460.0,2019
15-1221,Computer and Information Research Scientists,30780.0,122840.0,127460.0,2019
15-1230,Computer Support Specialists,832750.0,54760.0,59290.0,2019
15-1231,Computer Network Support Specialists,185430.0,63460.0,68860.0,2019
15-1232,Computer User Support Specialists,647330.0,52270.0,56550.0,2019
15-1240,Database and Network Administrators and Architects,632330.0,91390.0,96380.0,2019
15-1241,Computer Network Architects,152420.0,112690.0,115110.0,2019
15-1244,Network and Computer Systems Administrators,354450.0,83510.0,88410.0,2019
15-1245,Database Administrators and Architects,125460.0,93750.0,96110.0,2019
15-1250,"Software and Web Developers, Programmers, and Testers",1754750.0,102330.0,106980.0,2019
15-1251,Computer Programmers,199540.0,86550.0,92610.0,2019
15-1256,Software Developers and Software Quality Assurance Analysts and Testers,1406870.0,107510.0,111620.0,2019
15-1257,Web Developers and Digital Interface Designers,148340.0,73760.0,82370.0,2019
15-1290,Miscellaneous Computer Occupations,393160.0,88550.0,92410.0,2019
15-1299,"Computer Occupations, All Other",393160.0,88550.0,92410.0,2019
15-2000,Mathematical Science Occupations,194460.0,90410.0,96900.0,2019
15-2010,Actuaries,22260.0,108350.0,120970.0,2019
15-2011,Actuaries,22260.0,108350.0,120970.0,2019
15-2020,Mathematicians,2630.0,105030.0,107280.0,2019
15-2021,Mathematicians,2630.0,105030.0,107280.0,2019
15-2030,Operations Research Analysts,99680.0,84810.0,90600.0,2019
15-2031,Operations Research Analysts,99680.0,84810.0,90600.0,2019
15-2040,Statisticians,39090.0,91160.0,95680.0,2019
15-2041,Statisticians,39090.0,91160.0,95680.0,2019
15-2098,"Data Scientists and Mathematical Science Occupations, All Other",30810.0,94280.0,100560.0,2019
17-0000,Architecture and Engineering Occupations,2592680.0,81440.0,88800.0,2019
17-1000,"Architects, Surveyors, and Cartographers",182650.0,74520.0,81250.0,2019
17-1010,"Architects, Except Naval",126130.0,78890.0,87060.0,2019
17-1011,"Architects, Except Landscape and Naval",105850.0,80750.0,89560.0,2019
17-1012,Landscape Architects,20280.0,69360.0,73970.0,2019
17-1020,"Surveyors, Cartographers, and Photogrammetrists",56520.0,63880.0,68300.0,2019
17-1021,Cartographers and Photogrammetrists,11300.0,65470.0,69790.0,2019
17-1022,Surveyors,45220.0,63420.0,67920.0,2019
17-2000,Engineers,1730720.0,94500.0,100770.0,2019
17-2010,Aerospace Engineers,63200.0,116500.0,119220.0,2019
